idDeparture;depTime;depSeq;jointDep;idealDwell;maxDwell;reqDBM;reqTBM;
Dep1;d1 03:54:18;DepSeq2;;00:15:00;00:14:08;110;05:04:42;
Dep2;d1 03:58:38;DepSeq1;;00:15:00;07:23:15;990;08:38:22;
Dep3;d1 04:05:47;DepSeq1;;00:30:00;05:54:02;590;01:02:32;
Dep4;d1 04:16:11;DepSeq2;;00:30:00;05:20:55;370;03:27:43;
Dep5;d1 04:20:16;DepSeq1;;00:30:00;03:53:57;280;12:32:23;
Dep6;d1 04:37:54;DepSeq2;;00:30:00;06:34:02;160;06:44:23;
Dep7;d1 04:40:08;DepSeq2;;00:30:00;01:57:11;890;09:01:34;
Dep8;d1 05:07:42;DepSeq2;;00:30:00;07:42:48;190;07:35:42;
Dep9;d1 05:38:13;DepSeq1;;00:15:00;03:52:49;570;03:57:46;
Dep10;d1 06:00:31;DepSeq1;;00:15:00;01:17:54;100;08:24:28;
Dep11;d1 06:10:14;DepSeq2;;00:15:00;06:15:55;810;05:18:08;
Dep12;d1 06:40:50;DepSeq1;;00:15:00;04:43:13;880;07:36:03;
Dep13;d1 07:00:51;DepSeq2;;00:15:00;00:21:38;260;03:58:00;
Dep14;d1 07:25:05;DepSeq1;;00:30:00;06:10:00;780;06:30:31;
Dep15;d1 07:41:01;DepSeq2;;00:15:00;07:42:02;910;05:48:03;
Dep16;d1 08:10:05;DepSeq2;;00:30:00;02:53:05;270;06:11:05;
Dep17;d1 09:01:38;DepSeq2;;00:15:00;04:09:18;820;05:12:58;
Dep18;d1 09:28:17;DepSeq1;;00:15:00;03:49:31;400;05:50:22;
Dep19;d1 09:42:19;DepSeq2;;00:15:00;06:33:42;330;07:04:50;
Dep20;d1 09:46:49;DepSeq2;;00:15:00;02:00:14;480;03:31:20;
Dep21;d1 10:11:03;DepSeq1;;00:15:00;04:17:45;910;08:37:48;
Dep22;d1 10:42:17;DepSeq2;;00:15:00;01:53:28;810;01:56:04;
Dep23;d1 11:22:22;DepSeq1;;00:15:00;05:34:09;940;09:26:58;
Dep24;d1 12:00:23;DepSeq2;;00:30:00;07:29:07;60;08:56:52;
Dep25;d1 12:15:48;DepSeq1;;00:15:00;07:25:12;510;08:01:08;
Dep26;d1 12:23:55;DepSeq1;;00:15:00;07:42:19;880;06:57:09;
Dep27;d1 13:34:22;DepSeq1;;00:15:00;00:57:46;80;09:15:03;
Dep28;d1 14:46:19;DepSeq2;;00:30:00;06:34:49;620;11:44:10;
Dep29;d1 15:11:45;DepSeq1;;00:30:00;00:04:07;420;12:48:34;
Dep30;d1 16:02:38;DepSeq2;;00:15:00;05:22:16;860;08:32:05;
Dep31;d1 17:32:15;DepSeq2;;00:15:00;07:40:37;130;09:03:51;
Dep32;d1 17:43:21;DepSeq1;;00:15:00;02:31:52;680;12:31:46;
Dep33;d1 18:31:19;DepSeq2;;00:30:00;08:16:53;980;03:53:45;
Dep34;d1 18:54:32;DepSeq2;;00:15:00;06:39:24;750;11:13:49;
Dep35;d1 19:03:23;DepSeq2;;00:30:00;07:28:43;230;10:14:26;
Dep36;d1 19:09:59;DepSeq1;;00:15:00;05:05:52;1070;11:32:14;
Dep37;d1 19:13:51;DepSeq2;;00:15:00;07:22:45;390;02:02:21;
Dep38;d1 19:19:27;DepSeq1;;00:15:00;06:20:47;340;11:08:09;
Dep39;d1 19:23:09;DepSeq1;;00:30:00;02:33:41;400;09:38:49;
Dep40;d1 20:25:17;DepSeq1;;00:30:00;01:49:48;220;06:55:53;
Dep41;d1 20:32:22;DepSeq1;;00:30:00;08:55:42;190;01:45:25;
Dep42;d1 20:36:28;DepSeq2;;00:30:00;02:43:15;1090;09:20:24;
Dep43;d1 20:42:52;DepSeq2;;00:15:00;07:44:38;650;06:16:34;
Dep44;d1 20:47:52;DepSeq2;;00:15:00;07:59:22;1060;08:27:45;
Dep45;d1 20:51:05;DepSeq1;;00:30:00;05:28:31;660;05:03:36;
Dep46;d1 21:00:34;DepSeq1;;00:15:00;00:20:47;870;05:09:17;
Dep47;d1 21:16:13;DepSeq2;;00:15:00;05:37:30;200;08:10:51;
Dep48;d1 21:22:25;DepSeq2;;00:15:00;00:46:06;540;12:42:45;
