arr/dep;platform;
Arr1;Platform2;
Arr1;Platform3;
Arr1;Platform4;
Arr1;Platform5;
Arr1;Platform6;
Arr1;Platform7;
Arr2;Platform2;
Arr2;Platform3;
Arr2;Platform4;
Arr2;Platform5;
Arr2;Platform6;
Arr3;Platform2;
Arr3;Platform3;
Arr3;Platform4;
Arr3;Platform5;
Arr3;Platform6;
Arr3;Platform7;
Arr3;Platform8;
Arr4;Platform2;
Arr4;Platform3;
Arr4;Platform4;
Arr4;Platform5;
Arr4;Platform6;
Arr4;Platform7;
Arr4;Platform8;
Arr5;Platform3;
Arr5;Platform4;
Arr5;Platform5;
Arr5;Platform6;
Arr5;Platform7;
Arr6;Platform3;
Arr6;Platform4;
Arr6;Platform5;
Arr6;Platform6;
Arr6;Platform7;
Arr7;Platform4;
Arr7;Platform5;
Arr7;Platform6;
Arr7;Platform7;
Arr7;Platform8;
Arr7;Platform9;
Arr8;Platform3;
Arr8;Platform4;
Arr8;Platform5;
Arr8;Platform6;
Arr8;Platform7;
Arr8;Platform8;
Arr8;Platform9;
Arr9;Platform5;
Arr9;Platform6;
Arr9;Platform7;
Arr9;Platform8;
Arr9;Platform9;
Arr10;Platform3;
Arr10;Platform4;
Arr10;Platform5;
Arr10;Platform6;
Arr10;Platform7;
Arr11;Platform3;
Arr11;Platform4;
Arr11;Platform5;
Arr11;Platform6;
Arr11;Platform7;
Arr11;Platform8;
Arr12;Platform5;
Arr12;Platform6;
Arr12;Platform7;
Arr12;Platform8;
Arr12;Platform9;
Arr13;Platform2;
Arr13;Platform3;
Arr13;Platform4;
Arr13;Platform5;
Arr13;Platform6;
Arr13;Platform7;
Arr14;Platform5;
Arr14;Platform6;
Arr14;Platform7;
Arr14;Platform8;
Arr14;Platform9;
Arr15;Platform3;
Arr15;Platform4;
Arr15;Platform5;
Arr15;Platform6;
Arr15;Platform7;
Arr15;Platform8;
Arr15;Platform9;
Arr16;Platform4;
Arr16;Platform5;
Arr16;Platform6;
Arr16;Platform7;
Arr16;Platform8;
Arr16;Platform9;
Arr17;Platform3;
Arr17;Platform4;
Arr17;Platform5;
Arr17;Platform6;
Arr17;Platform7;
Arr17;Platform8;
Arr17;Platform9;
Arr18;Platform2;
Arr18;Platform3;
Arr18;Platform4;
Arr18;Platform5;
Arr18;Platform6;
Arr18;Platform7;
Arr19;Platform4;
Arr19;Platform5;
Arr19;Platform6;
Arr19;Platform7;
Arr19;Platform8;
Arr19;Platform9;
Arr20;Platform3;
Arr20;Platform4;
Arr20;Platform5;
Arr20;Platform6;
Arr20;Platform7;
Arr21;Platform4;
Arr21;Platform5;
Arr21;Platform6;
Arr21;Platform7;
Arr21;Platform8;
Arr22;Platform2;
Arr22;Platform3;
Arr22;Platform4;
Arr22;Platform5;
Arr23;Platform4;
Arr23;Platform5;
Arr23;Platform6;
Arr23;Platform7;
Arr23;Platform8;
Arr24;Platform3;
Arr24;Platform4;
Arr24;Platform5;
Arr24;Platform6;
Arr24;Platform7;
Arr24;Platform8;
Arr24;Platform9;
Arr25;Platform3;
Arr25;Platform4;
Arr25;Platform5;
Arr25;Platform6;
Arr25;Platform7;
Arr26;Platform2;
Arr26;Platform3;
Arr26;Platform4;
Arr26;Platform5;
Arr26;Platform6;
Arr26;Platform7;
Arr26;Platform8;
Arr27;Platform6;
Arr27;Platform7;
Arr27;Platform8;
Arr27;Platform9;
Arr28;Platform3;
Arr28;Platform4;
Arr28;Platform5;
Arr28;Platform6;
Arr28;Platform7;
Arr28;Platform8;
Arr29;Platform5;
Arr29;Platform6;
Arr29;Platform7;
Arr29;Platform8;
Arr29;Platform9;
Arr30;Platform3;
Arr30;Platform4;
Arr30;Platform5;
Arr30;Platform6;
Arr30;Platform7;
Arr30;Platform8;
Arr30;Platform9;
Arr31;Platform3;
Arr31;Platform4;
Arr31;Platform5;
Arr31;Platform6;
Arr32;Platform3;
Arr32;Platform4;
Arr32;Platform5;
Arr32;Platform6;
Arr32;Platform7;
Arr32;Platform8;
Arr32;Platform9;
Arr33;Platform2;
Arr33;Platform3;
Arr33;Platform4;
Arr33;Platform5;
Arr33;Platform6;
Arr33;Platform7;
Arr33;Platform8;
Arr34;Platform3;
Arr34;Platform4;
Arr34;Platform5;
Arr34;Platform6;
Arr35;Platform3;
Arr35;Platform4;
Arr35;Platform5;
Arr35;Platform6;
Arr35;Platform7;
Arr35;Platform8;
Arr35;Platform9;
Arr36;Platform2;
Arr36;Platform3;
Arr36;Platform4;
Arr36;Platform5;
Arr36;Platform6;
Arr36;Platform7;
Arr36;Platform8;
Arr37;Platform2;
Arr37;Platform3;
Arr37;Platform4;
Arr37;Platform5;
Arr37;Platform6;
Arr37;Platform7;
Arr38;Platform3;
Arr38;Platform4;
Arr38;Platform5;
Arr38;Platform6;
Arr38;Platform7;
Arr38;Platform8;
Arr39;Platform2;
Arr39;Platform3;
Arr39;Platform4;
Arr39;Platform5;
Arr39;Platform6;
Arr39;Platform7;
Arr39;Platform8;
Arr40;Platform5;
Arr40;Platform6;
Arr40;Platform7;
Arr40;Platform8;
Arr41;Platform3;
Arr41;Platform4;
Arr41;Platform5;
Arr41;Platform6;
Arr41;Platform7;
Arr41;Platform8;
Arr41;Platform9;
Arr42;Platform4;
Arr42;Platform5;
Arr42;Platform6;
Arr42;Platform7;
Arr42;Platform8;
Arr42;Platform9;
Arr43;Platform6;
Arr43;Platform7;
Arr43;Platform8;
Arr43;Platform9;
Arr44;Platform3;
Arr44;Platform4;
Arr44;Platform5;
Arr44;Platform6;
Arr44;Platform7;
Arr45;Platform2;
Arr45;Platform3;
Arr45;Platform4;
Arr45;Platform5;
Arr45;Platform6;
Arr45;Platform7;
Arr46;Platform2;
Arr46;Platform3;
Arr46;Platform4;
Arr46;Platform5;
Arr46;Platform6;
Arr46;Platform7;
Arr47;Platform4;
Arr47;Platform5;
Arr47;Platform6;
Arr47;Platform7;
Arr47;Platform8;
Arr47;Platform9;
Arr48;Platform3;
Arr48;Platform4;
Arr48;Platform5;
Arr48;Platform6;
Arr48;Platform7;
Arr48;Platform8;
Arr48;Platform9;
Arr49;Platform3;
Arr49;Platform4;
Arr49;Platform5;
Arr49;Platform6;
Arr50;Platform3;
Arr50;Platform4;
Arr50;Platform5;
Arr50;Platform6;
Arr50;Platform7;
Arr51;Platform2;
Arr51;Platform3;
Arr51;Platform4;
Arr51;Platform5;
Arr51;Platform6;
Arr51;Platform7;
Arr51;Platform8;
Arr52;Platform2;
Arr52;Platform3;
Arr52;Platform4;
Arr52;Platform5;
Arr52;Platform6;
Arr52;Platform7;
Arr52;Platform8;
Arr53;Platform6;
Arr53;Platform7;
Arr53;Platform8;
Arr53;Platform9;
Arr54;Platform2;
Arr54;Platform3;
Arr54;Platform4;
Arr54;Platform5;
Arr54;Platform6;
Arr55;Platform2;
Arr55;Platform3;
Arr55;Platform4;
Arr55;Platform5;
Arr55;Platform6;
Arr56;Platform5;
Arr56;Platform6;
Arr56;Platform7;
Arr56;Platform8;
Arr57;Platform3;
Arr57;Platform4;
Arr57;Platform5;
Arr57;Platform6;
Arr57;Platform7;
Arr57;Platform8;
Arr57;Platform9;
Arr58;Platform3;
Arr58;Platform4;
Arr58;Platform5;
Arr58;Platform6;
Arr58;Platform7;
Arr58;Platform8;
Arr58;Platform9;
Arr59;Platform6;
Arr59;Platform7;
Arr59;Platform8;
Arr59;Platform9;
Arr60;Platform3;
Arr60;Platform4;
Arr60;Platform5;
Arr60;Platform6;
Arr60;Platform7;
Arr60;Platform8;
Arr60;Platform9;
Arr61;Platform3;
Arr61;Platform4;
Arr61;Platform5;
Arr61;Platform6;
Arr61;Platform7;
Arr61;Platform8;
Arr61;Platform9;
Arr62;Platform2;
Arr62;Platform3;
Arr62;Platform4;
Arr62;Platform5;
Arr62;Platform6;
Arr62;Platform7;
Arr62;Platform8;
Arr63;Platform3;
Arr63;Platform4;
Arr63;Platform5;
Arr63;Platform6;
Arr63;Platform7;
Arr63;Platform8;
Arr63;Platform9;
Arr64;Platform2;
Arr64;Platform3;
Arr64;Platform4;
Arr64;Platform5;
Arr64;Platform6;
Arr64;Platform7;
Arr64;Platform8;
Arr65;Platform3;
Arr65;Platform4;
Arr65;Platform5;
Arr65;Platform6;
Arr65;Platform7;
Arr66;Platform4;
Arr66;Platform5;
Arr66;Platform6;
Arr66;Platform7;
Arr66;Platform8;
Arr66;Platform9;
Arr67;Platform4;
Arr67;Platform5;
Arr67;Platform6;
