idDeparture;depTime;depSeq;jointDep;idealDwell;maxDwell;reqDBM;reqTBM;
Dep1;d1 05:05:00;DepSeq1;;00:15:00;08:05:00;150;02:50:00;
Dep2;d1 05:33:00;DepSeq2;;00:15:00;08:33:00;130;02:30:00;
Dep3;d1 05:36:00;DepSeq1;;00:30:00;08:36:00;900;07:00:00;
Dep4;d1 05:56:00;DepSeq1;;00:15:00;08:56:00;580;11:50:00;
Dep5;d1 06:00:00;DepSeq1;;00:15:00;09:00:00;300;05:50:00;
Dep6;d1 06:05:00;DepSeq2;JointDep1;00:15:00;09:05:00;170;03:20:00;
Dep7;d1 06:05:00;DepSeq2;JointDep1;00:15:00;09:05:00;170;03:20:00;
Dep8;d1 06:05:00;DepSeq1;;00:15:00;09:05:00;120;02:20:00;
Dep9;d1 06:10:00;DepSeq1;;00:30:00;09:10:00;900;07:00:00;
Dep10;d1 06:10:00;DepSeq1;;00:15:00;09:10:00;240;04:50:00;
Dep11;d1 06:14:00;DepSeq1;;00:30:00;09:14:00;2060;11:50:00;
Dep12;d1 06:24:00;DepSeq1;JointDep2;00:30:00;09:24:00;1880;13:00:00;
Dep13;d1 06:24:00;DepSeq1;JointDep2;00:30:00;09:24:00;1880;13:00:00;
Dep14;d1 06:32:00;DepSeq1;;00:15:00;09:32:00;440;07:40:00;
Dep15;d1 06:35:00;DepSeq1;;00:15:00;09:35:00;140;02:40:00;
Dep16;d1 06:35:00;DepSeq2;JointDep3;00:15:00;09:35:00;120;02:20:00;
Dep17;d1 06:35:00;DepSeq2;JointDep3;00:15:00;09:35:00;120;02:20:00;
Dep18;d1 06:44:00;DepSeq1;;00:30:00;09:44:00;1170;06:40:00;
Dep19;d1 06:45:00;DepSeq1;;00:15:00;09:45:00;310;06:10:00;
Dep20;d1 06:48:00;DepSeq1;;00:15:00;09:48:00;240;04:50:00;
