idTrain;category;resource;remDBM;remTBM;
Train21;Cat1;Yard2;1200;72:00:00;
Train22;Cat1;Yard2;1200;72:00:00;
Train23;Cat1;Yard2;1200;72:00:00;
Train24;Cat1;Yard2;1200;72:00:00;
Train25;Cat1;Yard2;1200;72:00:00;
Train26;Cat3;Yard1;1500;72:00:00;
Train27;Cat5;Yard1;1500;72:00:00;
Train28;Cat6;Yard1;1500;72:00:00;
Train29;Cat6;Yard1;1500;72:00:00;
Train30;Cat7;Yard1;1500;72:00:00;
Train31;Cat7;Yard1;1500;72:00:00;
Train32;Cat9;Yard1;5000;72:00:00;
Train33;Cat9;Yard1;5000;72:00:00;
Train34;Cat10;Yard1;5000;72:00:00;
Train35;Cat10;Yard1;5000;72:00:00;
Train36;Cat12;Facility1;5000;72:00:00;
Train37;Cat12;Facility2;5000;72:00:00;
Train38;Cat12;Facility3;5000;72:00:00;
Train39;Cat12;Facility4;5000;72:00:00;
Train40;Cat13;Facility5;5000;72:00:00;
