departure;compatibleCategory;
Dep1;Cat1;
Dep1;Cat6;
Dep1;Cat7;
Dep2;Cat3;
Dep2;Cat4;
Dep2;Cat5;
Dep3;Cat10;
Dep4;Cat1;
Dep4;Cat6;
Dep4;Cat7;
Dep5;Cat1;
Dep5;Cat6;
Dep5;Cat7;
Dep6;Cat1;
Dep6;Cat6;
Dep6;Cat7;
Dep7;Cat1;
Dep7;Cat6;
Dep7;Cat7;
Dep8;Cat1;
Dep8;Cat6;
Dep8;Cat7;
Dep9;Cat10;
Dep10;Cat1;
Dep10;Cat6;
Dep10;Cat7;
Dep11;Cat10;
Dep12;Cat9;
Dep13;Cat9;
Dep14;Cat1;
Dep14;Cat6;
Dep14;Cat7;
Dep15;Cat1;
Dep15;Cat6;
Dep15;Cat7;
Dep16;Cat3;
Dep16;Cat4;
Dep16;Cat5;
Dep17;Cat3;
Dep17;Cat4;
Dep17;Cat5;
Dep18;Cat12;
Dep19;Cat1;
Dep19;Cat6;
Dep19;Cat7;
Dep20;Cat1;
Dep20;Cat6;
Dep20;Cat7;
