arr/dep;platform;
Arr1;Platform2;
Arr1;Platform3;
Arr1;Platform4;
Arr1;Platform5;
Arr1;Platform6;
Arr1;Platform7;
Arr1;Platform8;
Arr1;Platform9;
Arr2;Platform6;
Arr2;Platform7;
Arr2;Platform8;
Arr2;Platform9;
Arr2;Platform10;
Arr3;Platform4;
Arr3;Platform5;
Arr3;Platform6;
Arr3;Platform7;
Arr3;Platform8;
Arr4;Platform4;
Arr4;Platform5;
Arr4;Platform6;
Arr4;Platform7;
Arr4;Platform8;
Arr4;Platform9;
Arr5;Platform3;
Arr5;Platform4;
Arr5;Platform5;
Arr5;Platform6;
Arr5;Platform7;
Arr5;Platform8;
Arr5;Platform9;
Arr5;Platform10;
Arr6;Platform4;
Arr6;Platform5;
Arr6;Platform6;
Arr6;Platform7;
Arr6;Platform8;
Arr6;Platform9;
Arr6;Platform10;
Arr7;Platform2;
Arr7;Platform3;
Arr7;Platform4;
Arr7;Platform5;
Arr7;Platform6;
Arr7;Platform7;
Arr7;Platform8;
Arr7;Platform9;
Arr8;Platform5;
Arr8;Platform6;
Arr8;Platform7;
Arr8;Platform8;
Arr9;Platform2;
Arr9;Platform3;
Arr9;Platform4;
Arr9;Platform5;
Arr9;Platform6;
Arr9;Platform7;
Arr10;Platform2;
Arr10;Platform3;
Arr10;Platform4;
Arr10;Platform5;
Arr10;Platform6;
Arr10;Platform7;
Arr10;Platform8;
Dep1;Platform4;
Dep1;Platform5;
Dep1;Platform6;
Dep1;Platform7;
Dep1;Platform8;
Dep1;Platform9;
Dep2;Platform2;
Dep2;Platform3;
Dep2;Platform4;
Dep2;Platform5;
Dep2;Platform6;
Dep2;Platform7;
Dep2;Platform8;
Dep3;Platform3;
Dep3;Platform4;
Dep3;Platform5;
Dep3;Platform6;
Dep3;Platform7;
Dep3;Platform8;
Dep4;Platform4;
Dep4;Platform5;
Dep4;Platform6;
Dep4;Platform7;
Dep4;Platform8;
Dep4;Platform9;
Dep4;Platform10;
Dep5;Platform7;
Dep5;Platform8;
Dep5;Platform9;
Dep5;Platform10;
Dep6;Platform6;
Dep6;Platform7;
Dep6;Platform8;
Dep6;Platform9;
Dep6;Platform10;
Dep7;Platform5;
Dep7;Platform6;
Dep7;Platform7;
Dep7;Platform8;
Dep7;Platform9;
Dep8;Platform3;
Dep8;Platform4;
Dep8;Platform5;
Dep8;Platform6;
Dep8;Platform7;
Dep8;Platform8;
Dep8;Platform9;
Dep9;Platform5;
Dep9;Platform6;
Dep9;Platform7;
Dep9;Platform8;
Dep9;Platform9;
Dep9;Platform10;
Dep10;Platform4;
Dep10;Platform5;
Dep10;Platform6;
Dep10;Platform7;
