idDeparture;depTime;depSeq;jointDep;idealDwell;maxDwell;reqDBM;reqTBM;
Dep1;d1 10:10:14;DepSeq1;;00:15:00;06:40:34;990;07:34:12;
Dep2;d1 10:28:28;DepSeq1;;00:15:00;01:54:12;600;02:05:15;
Dep3;d1 10:46:56;DepSeq2;;00:30:00;04:27:12;1030;10:23:21;
Dep4;d1 10:54:12;DepSeq2;;00:30:00;03:55:55;420;12:28:56;
Dep5;d1 11:13:13;DepSeq2;;00:30:00;02:28:16;380;11:41:38;
Dep6;d1 11:22:42;DepSeq2;;00:30:00;04:27:14;1020;02:45:40;
Dep7;d1 11:31:43;DepSeq1;;00:30:00;02:09:09;70;01:55:38;
Dep8;d1 11:42:00;DepSeq2;;00:15:00;01:46:33;830;01:48:25;
Dep9;d1 11:50:28;DepSeq1;;00:15:00;08:55:33;130;05:58:27;
Dep10;d1 11:55:34;DepSeq2;;00:30:00;00:00:44;540;01:18:39;
Dep11;d1 12:00:43;DepSeq2;;00:30:00;00:40:36;990;06:21:16;
Dep12;d1 12:06:59;DepSeq2;;00:30:00;07:28:47;840;11:52:48;
Dep13;d1 12:11:32;DepSeq2;;00:15:00;08:03:07;390;04:41:13;
Dep14;d1 12:15:12;DepSeq2;;00:30:00;01:30:14;220;05:38:31;
Dep15;d1 12:22:15;DepSeq2;;00:15:00;01:08:52;280;11:32:43;
Dep16;d1 12:26:21;DepSeq1;;00:30:00;07:20:43;560;03:12:04;
Dep17;d1 12:33:29;DepSeq2;;00:15:00;07:05:05;220;03:05:39;
Dep18;d1 12:38:27;DepSeq1;;00:15:00;02:12:54;610;05:46:38;
Dep19;d1 12:44:29;DepSeq1;;00:15:00;07:39:14;430;06:40:29;
Dep20;d1 12:52:00;DepSeq1;;00:30:00;04:32:35;900;10:35:15;
Dep21;d1 13:05:07;DepSeq2;;00:30:00;04:08:45;590;03:11:47;
Dep22;d1 13:09:08;DepSeq2;;00:30:00;02:35:17;850;04:39:22;
Dep23;d1 13:12:24;DepSeq1;;00:15:00;07:00:08;180;12:59:17;
Dep24;d1 13:15:37;DepSeq2;;00:15:00;01:11:01;600;04:32:26;
Dep25;d1 13:18:08;DepSeq1;;00:30:00;02:20:02;680;12:19:43;
Dep26;d1 13:20:28;DepSeq1;;00:30:00;02:22:03;590;01:10:32;
Dep27;d1 13:24:32;DepSeq2;;00:15:00;04:40:12;920;07:09:41;
Dep28;d1 13:27:51;DepSeq2;;00:30:00;06:46:14;560;04:37:50;
Dep29;d1 13:30:56;DepSeq1;;00:30:00;05:24:11;400;10:46:23;
Dep30;d1 13:33:59;DepSeq1;;00:30:00;04:03:04;640;04:34:50;
Dep31;d1 13:38:59;DepSeq1;;00:15:00;08:29:04;580;08:56:10;
Dep32;d1 13:41:59;DepSeq2;;00:30:00;00:49:48;280;05:29:57;
Dep33;d1 13:49:59;DepSeq1;;00:15:00;04:17:10;60;01:34:20;
Dep34;d1 13:55:24;DepSeq1;;00:30:00;03:21:38;660;08:54:28;
Dep35;d1 13:59:26;DepSeq1;;00:30:00;05:22:28;990;04:11:56;
Dep36;d1 14:02:16;DepSeq2;;00:30:00;08:38:26;770;07:42:58;
Dep37;d1 14:12:44;DepSeq1;;00:15:00;03:48:23;500;06:04:46;
Dep38;d1 14:24:51;DepSeq1;;00:30:00;05:59:00;490;01:40:58;
Dep39;d1 14:32:56;DepSeq1;;00:30:00;04:49:25;1080;02:21:25;
Dep40;d1 14:38:58;DepSeq2;;00:15:00;06:32:22;830;06:25:04;
Dep41;d1 14:42:58;DepSeq2;;00:30:00;00:04:23;790;07:39:48;
Dep42;d1 14:49:28;DepSeq1;;00:30:00;02:31:08;470;03:14:46;
Dep43;d1 14:54:57;DepSeq1;;00:30:00;07:28:28;850;03:20:23;
Dep44;d1 14:55:59;DepSeq2;;00:30:00;07:58:36;490;01:01:24;
Dep45;d1 14:57:59;DepSeq2;;00:15:00;03:27:35;280;09:23:46;
Dep46;d1 14:59:59;DepSeq1;;00:30:00;07:38:57;650;06:55:25;
Dep47;d1 15:00:00;DepSeq1;;00:15:00;02:43:37;870;12:02:50;
Dep48;d1 15:02:56;DepSeq1;;00:30:00;03:30:13;1090;12:37:31;
Dep49;d1 15:07:32;DepSeq1;;00:15:00;05:36:44;610;11:44:56;
Dep50;d1 15:12:48;DepSeq1;;00:15:00;01:32:39;90;07:11:43;
Dep51;d1 15:18:26;DepSeq1;;00:30:00;07:41:54;970;05:27:40;
Dep52;d1 15:29:37;DepSeq2;;00:30:00;04:10:49;500;03:21:44;
Dep53;d1 15:39:50;DepSeq2;;00:15:00;01:34:08;680;02:55:46;
Dep54;d1 15:43:32;DepSeq2;;00:30:00;02:01:45;580;07:40:51;
Dep55;d1 15:50:47;DepSeq2;;00:30:00;04:00:37;910;05:29:12;
Dep56;d1 16:00:00;DepSeq1;;00:30:00;07:43:52;810;07:55:53;
Dep57;d1 16:05:55;DepSeq2;;00:30:00;03:07:48;80;09:03:47;
Dep58;d1 16:10:43;DepSeq2;;00:15:00;08:00:21;960;03:29:37;
Dep59;d1 16:17:56;DepSeq2;;00:30:00;08:10:27;730;05:21:46;
Dep60;d1 16:20:22;DepSeq2;;00:15:00;07:39:02;820;02:10:39;
