idArrival;arrTrain;arrTime;arrSeq;jointArr;linkedDep;cat;idealDwell;maxDwell;remDBM;remTBM;
Arr1;Train1;d1 08:00:05;ArrSeq1;;;Cat1;00:15:00;05:26:44;2480;72:00:00;
Arr2;Train2;d1 08:05:27;ArrSeq2;;;Cat1;00:15:00;05:30:43;2050;72:00:00;
Arr3;Train3;d1 08:14:44;ArrSeq2;;;Cat1;00:15:00;06:25:36;1520;72:00:00;
Arr4;Train4;d1 08:24:51;ArrSeq1;;;Cat1;00:15:00;02:08:18;1730;72:00:00;
Arr5;Train5;d1 08:55:57;ArrSeq2;;;Cat1;00:15:00;02:17:49;1910;72:00:00;
Arr6;Train6;d1 09:22:45;ArrSeq2;;;Cat1;00:15:00;02:47:58;2490;72:00:00;
Arr7;Train7;d1 09:27:28;ArrSeq1;;;Cat1;00:05:00;08:00:25;2420;72:00:00;
Arr8;Train8;d1 09:33:38;ArrSeq2;;;Cat1;00:05:00;07:02:43;2000;72:00:00;
Arr9;Train9;d1 09:37:44;ArrSeq1;;;Cat1;00:05:00;02:16:44;1980;72:00:00;
Arr10;Train10;d1 09:43:15;ArrSeq1;;;Cat1;00:05:00;06:42:28;2250;72:00:00;
Arr11;Train11;d1 09:53:21;ArrSeq2;;;Cat1;00:05:00;01:03:25;2040;72:00:00;
Arr12;Train12;d1 09:56:10;ArrSeq1;;;Cat1;00:05:00;00:22:21;2240;72:00:00;
Arr13;Train13;d1 10:00:09;ArrSeq2;;;Cat1;00:15:00;02:40:58;1660;72:00:00;
Arr14;Train14;d1 10:02:33;ArrSeq2;;;Cat1;00:15:00;05:49:00;2040;72:00:00;
Arr15;Train15;d1 10:05:37;ArrSeq1;;;Cat1;00:05:00;04:24:31;1650;72:00:00;
Arr16;Train16;d1 10:07:40;ArrSeq1;;;Cat1;00:05:00;04:30:45;1950;72:00:00;
Arr17;Train17;d1 10:11:00;ArrSeq2;;;Cat1;00:15:00;01:43:28;2360;72:00:00;
Arr18;Train18;d1 10:21:04;ArrSeq1;;;Cat1;00:15:00;01:40:01;2490;72:00:00;
Arr19;Train19;d1 10:32:04;ArrSeq2;;;Cat1;00:05:00;07:25:06;2140;72:00:00;
Arr20;Train20;d1 10:43:33;ArrSeq1;;;Cat1;00:05:00;04:20:39;1520;72:00:00;
Arr21;Train21;d1 10:54:06;ArrSeq1;;;Cat1;00:05:00;08:19:01;2440;72:00:00;
Arr22;Train22;d1 11:01:14;ArrSeq2;;;Cat1;00:15:00;01:28:40;2240;72:00:00;
Arr23;Train23;d1 11:04:19;ArrSeq1;;;Cat1;00:15:00;05:30:45;2060;72:00:00;
Arr24;Train24;d1 11:09:06;ArrSeq1;;;Cat1;00:05:00;07:41:02;1580;72:00:00;
Arr25;Train25;d1 11:13:05;ArrSeq1;;;Cat1;00:05:00;01:08:08;1950;72:00:00;
Arr26;Train26;d1 11:17:19;ArrSeq1;;;Cat1;00:05:00;02:38:25;1730;72:00:00;
Arr27;Train27;d1 11:22:00;ArrSeq1;;;Cat1;00:05:00;07:50:40;1550;72:00:00;
Arr28;Train28;d1 11:28:15;ArrSeq2;;;Cat1;00:15:00;01:45:52;1680;72:00:00;
Arr29;Train29;d1 11:34:20;ArrSeq1;;;Cat1;00:15:00;02:41:01;2280;72:00:00;
Arr30;Train30;d1 11:42:42;ArrSeq1;;;Cat1;00:15:00;03:07:13;2480;72:00:00;
Arr31;Train31;d1 11:50:29;ArrSeq1;;;Cat1;00:15:00;03:39:43;1660;72:00:00;
Arr32;Train32;d1 11:53:41;ArrSeq1;;;Cat1;00:15:00;06:15:32;2340;72:00:00;
Arr33;Train33;d1 12:01:49;ArrSeq2;;;Cat1;00:15:00;01:04:53;1640;72:00:00;
Arr34;Train34;d1 12:07:50;ArrSeq1;;;Cat1;00:05:00;06:37:27;2410;72:00:00;
Arr35;Train35;d1 12:11:58;ArrSeq2;;;Cat1;00:05:00;07:51:21;1930;72:00:00;
Arr36;Train36;d1 12:23:38;ArrSeq2;;;Cat1;00:05:00;00:12:41;1970;72:00:00;
Arr37;Train37;d1 12:35:10;ArrSeq1;;;Cat1;00:15:00;08:53:56;1600;72:00:00;
Arr38;Train38;d1 12:40:34;ArrSeq1;;;Cat1;00:15:00;04:56:24;1810;72:00:00;
Arr39;Train39;d1 12:50:52;ArrSeq1;;;Cat1;00:05:00;06:57:47;1780;72:00:00;
Arr40;Train40;d1 12:54:59;ArrSeq2;;;Cat1;00:15:00;03:49:27;1590;72:00:00;
Arr41;Train41;d1 13:00:00;ArrSeq1;;;Cat1;00:15:00;06:50:53;1840;72:00:00;
Arr42;Train42;d1 13:06:59;ArrSeq2;;;Cat1;00:15:00;01:29:42;2070;72:00:00;
Arr43;Train43;d1 13:12:23;ArrSeq1;;;Cat1;00:05:00;07:47:45;2070;72:00:00;
Arr44;Train44;d1 13:16:57;ArrSeq1;;;Cat1;00:05:00;03:11:52;1930;72:00:00;
Arr45;Train45;d1 13:20:56;ArrSeq2;;;Cat1;00:05:00;05:25:40;1950;72:00:00;
Arr46;Train46;d1 13:23:09;ArrSeq2;;;Cat1;00:05:00;00:40:10;2240;72:00:00;
Arr47;Train47;d1 13:26:40;ArrSeq1;;;Cat1;00:05:00;07:44:34;1900;72:00:00;
Arr48;Train48;d1 13:30:08;ArrSeq1;;;Cat1;00:05:00;02:18:04;2270;72:00:00;
Arr49;Train49;d1 13:33:12;ArrSeq2;;;Cat1;00:05:00;02:51:08;2320;72:00:00;
Arr50;Train50;d1 13:36:23;ArrSeq2;;;Cat1;00:15:00;00:47:31;1960;72:00:00;
Arr51;Train51;d1 13:40:45;ArrSeq1;;;Cat1;00:15:00;03:02:50;1680;72:00:00;
Arr52;Train52;d1 13:44:52;ArrSeq1;;;Cat1;00:05:00;00:51:31;1700;72:00:00;
Arr53;Train53;d1 13:48:58;ArrSeq2;;;Cat1;00:15:00;00:11:31;1540;72:00:00;
Arr54;Train54;d1 13:50:58;ArrSeq2;;;Cat1;00:05:00;03:24:03;1670;72:00:00;
Arr55;Train55;d1 13:57:59;ArrSeq1;;;Cat1;00:15:00;06:15:15;2180;72:00:00;
Arr56;Train56;d1 14:01:40;ArrSeq2;;;Cat1;00:05:00;08:12:40;2230;72:00:00;
Arr57;Train57;d1 14:10:31;ArrSeq1;;;Cat1;00:05:00;07:20:38;2440;72:00:00;
Arr58;Train58;d1 14:13:38;ArrSeq1;;;Cat1;00:05:00;04:51:53;1610;72:00:00;
Arr59;Train59;d1 14:18:36;ArrSeq2;;;Cat1;00:05:00;07:29:55;2320;72:00:00;
Arr60;Train60;d1 14:21:12;ArrSeq2;;;Cat1;00:05:00;04:57:41;2130;72:00:00;
Arr61;Train61;d1 14:25:15;ArrSeq1;;;Cat1;00:05:00;01:31:49;2300;72:00:00;
Arr62;Train62;d1 14:31:34;ArrSeq2;;;Cat1;00:15:00;03:40:21;2070;72:00:00;
Arr63;Train63;d1 14:35:35;ArrSeq1;;;Cat1;00:05:00;03:06:49;2250;72:00:00;
Arr64;Train64;d1 14:42:49;ArrSeq2;;;Cat1;00:15:00;03:46:45;2060;72:00:00;
Arr65;Train65;d1 14:46:11;ArrSeq1;;;Cat1;00:05:00;06:10:54;1990;72:00:00;
Arr66;Train66;d1 14:57:24;ArrSeq1;;;Cat1;00:15:00;05:46:52;1750;72:00:00;
Arr67;Train67;d1 15:10:38;ArrSeq2;;;Cat1;00:05:00;01:40:43;1620;72:00:00;
Arr68;Train68;d1 15:13:41;ArrSeq2;;;Cat1;00:05:00;01:28:18;2490;72:00:00;
Arr69;Train69;d1 15:19:04;ArrSeq2;;;Cat1;00:15:00;05:24:48;2150;72:00:00;
Arr70;Train70;d1 15:23:20;ArrSeq2;;;Cat1;00:15:00;03:08:13;2020;72:00:00;
Arr71;Train71;d1 15:28:57;ArrSeq2;;;Cat1;00:05:00;07:27:27;2370;72:00:00;
Arr72;Train72;d1 15:32:57;ArrSeq1;;;Cat1;00:05:00;02:51:24;2490;72:00:00;
Arr73;Train73;d1 15:39:59;ArrSeq2;;;Cat1;00:05:00;02:00:37;2250;72:00:00;
Arr74;Train74;d1 15:50:26;ArrSeq1;;;Cat1;00:15:00;04:06:19;1800;72:00:00;
Arr75;Train75;d1 16:00:36;ArrSeq1;;;Cat1;00:15:00;01:44:46;2320;72:00:00;
Arr76;Train76;d1 16:08:36;ArrSeq2;;;Cat1;00:05:00;07:57:45;1960;72:00:00;
Arr77;Train77;d1 16:10:48;ArrSeq2;;;Cat1;00:05:00;02:10:53;1540;72:00:00;
Arr78;Train78;d1 16:17:54;ArrSeq2;;;Cat1;00:15:00;08:47:12;1710;72:00:00;
Arr79;Train79;d1 16:20:00;ArrSeq2;;;Cat1;00:15:00;00:13:22;1910;72:00:00;
Arr80;Train80;d1 16:22:13;ArrSeq1;;;Cat1;00:05:00;01:12:13;1670;72:00:00;
Arr81;Train81;d1 16:35:40;ArrSeq1;;;Cat1;00:15:00;00:24:21;1530;72:00:00;
Arr82;Train82;d1 16:44:25;ArrSeq2;;;Cat1;00:15:00;06:46:57;1570;72:00:00;
Arr83;Train83;d1 16:47:00;ArrSeq1;;;Cat1;00:05:00;01:13:22;2360;72:00:00;
Arr84;Train84;d1 16:55:07;ArrSeq2;;;Cat1;00:15:00;00:03:52;1640;72:00:00;
Arr85;Train85;d1 17:00:39;ArrSeq2;;;Cat1;00:15:00;00:28:51;2380;72:00:00;
Arr86;Train86;d1 17:03:04;ArrSeq1;;;Cat1;00:05:00;03:01:49;1860;72:00:00;
Arr87;Train87;d1 17:08:32;ArrSeq2;;;Cat1;00:15:00;00:41:00;2240;72:00:00;
Arr88;Train88;d1 17:19:14;ArrSeq2;;;Cat1;00:05:00;07:41:30;2020;72:00:00;
