arrival;departure;
Arr2;Dep132;
Arr3;Dep160;
Arr4;Dep37;
Arr5;Dep35;
Arr6;Dep160;
Arr7;Dep71;
Arr8;Dep126;
Arr10;Dep18;
Arr11;Dep125;
Arr12;Dep47;
Arr13;Dep143;
Arr14;Dep132;
Arr16;Dep127;
Arr17;Dep116;
Arr18;Dep97;
Arr19;Dep135;
Arr20;Dep132;
Arr21;Dep156;
Arr23;Dep122;
Arr26;Dep108;
Arr27;Dep26;
Arr28;Dep19;
Arr29;Dep132;
Arr30;Dep74;
Arr31;Dep120;
Arr32;Dep88;
Arr33;Dep104;
Arr34;Dep65;
Arr35;Dep96;
Arr36;Dep138;
Arr37;Dep61;
Arr39;Dep133;
Arr40;Dep59;
Arr41;Dep94;
Arr42;Dep41;
Arr43;Dep103;
Arr44;Dep120;
Arr45;Dep23;
Arr46;Dep71;
Arr47;Dep141;
Arr48;Dep132;
Arr50;Dep143;
Arr51;Dep55;
Arr52;Dep94;
Arr57;Dep64;
Arr58;Dep108;
Arr59;Dep60;
Arr61;Dep81;
Arr62;Dep100;
Arr63;Dep128;
Arr64;Dep70;
Arr65;Dep72;
Arr67;Dep62;
Arr68;Dep94;
Arr70;Dep103;
Arr71;Dep149;
Arr72;Dep143;
Arr73;Dep107;
Arr75;Dep152;
Arr76;Dep125;
Arr77;Dep75;
Arr80;Dep153;
Arr81;Dep85;
Arr82;Dep138;
Arr83;Dep115;
Arr85;Dep131;
Arr86;Dep116;
Arr88;Dep82;
Arr90;Dep131;
Arr91;Dep94;
Arr93;Dep153;
Arr94;Dep80;
Arr99;Dep160;
Arr104;Dep153;
Arr105;Dep102;
Arr106;Dep106;
Arr108;Dep159;
Arr110;Dep135;
Arr112;Dep159;
Arr114;Dep120;
Arr120;Dep126;
Arr121;Dep124;
Arr125;Dep157;
Arr134;Dep150;
Arr136;Dep133;
