arr/dep;platform;
Arr1;Platform4;
Arr1;Platform5;
Arr1;Platform6;
Arr1;Platform7;
Arr1;Platform8;
Arr2;Platform2;
Arr2;Platform3;
Arr2;Platform4;
Arr2;Platform5;
Arr2;Platform6;
Arr2;Platform7;
Arr3;Platform2;
Arr3;Platform3;
Arr3;Platform4;
Arr3;Platform5;
Arr3;Platform6;
Arr3;Platform7;
Arr4;Platform7;
Arr4;Platform8;
Arr4;Platform9;
Arr4;Platform10;
Arr5;Platform3;
Arr5;Platform4;
Arr5;Platform5;
Arr5;Platform6;
Arr5;Platform7;
Arr5;Platform8;
Arr6;Platform3;
Arr6;Platform4;
Arr6;Platform5;
Arr6;Platform6;
Arr6;Platform7;
Arr6;Platform8;
Arr6;Platform9;
Arr6;Platform10;
Arr7;Platform3;
Arr7;Platform4;
Arr7;Platform5;
Arr7;Platform6;
Arr7;Platform7;
Arr7;Platform8;
Arr7;Platform9;
Arr7;Platform10;
Arr8;Platform3;
Arr8;Platform4;
Arr8;Platform5;
Arr8;Platform6;
Arr8;Platform7;
Arr9;Platform3;
Arr9;Platform4;
Arr9;Platform5;
Arr9;Platform6;
Arr9;Platform7;
Arr10;Platform2;
Arr10;Platform3;
Arr10;Platform4;
Arr10;Platform5;
Arr10;Platform6;
Arr10;Platform7;
Arr10;Platform8;
Arr10;Platform9;
Arr11;Platform4;
Arr11;Platform5;
Arr11;Platform6;
Arr11;Platform7;
Arr11;Platform8;
Arr11;Platform9;
Arr11;Platform10;
Arr12;Platform3;
Arr12;Platform4;
Arr12;Platform5;
Arr12;Platform6;
Arr12;Platform7;
Arr12;Platform8;
Arr12;Platform9;
Arr12;Platform10;
Arr13;Platform3;
Arr13;Platform4;
Arr13;Platform5;
Arr13;Platform6;
Arr13;Platform7;
Arr14;Platform4;
Arr14;Platform5;
Arr14;Platform6;
Arr14;Platform7;
Arr14;Platform8;
Arr14;Platform9;
Arr15;Platform3;
Arr15;Platform4;
Arr15;Platform5;
Arr15;Platform6;
Arr15;Platform7;
Arr15;Platform8;
Arr15;Platform9;
Arr15;Platform10;
Arr16;Platform5;
Arr16;Platform6;
Arr16;Platform7;
Arr16;Platform8;
Arr16;Platform9;
Arr16;Platform10;
Arr17;Platform4;
Arr17;Platform5;
Arr17;Platform6;
Arr17;Platform7;
Arr17;Platform8;
