arr/dep;platform;
Arr1;Platform3;
Arr1;Platform4;
Arr1;Platform5;
Arr1;Platform6;
Arr1;Platform7;
Arr1;Platform8;
Arr2;Platform5;
Arr2;Platform6;
Arr2;Platform7;
Arr2;Platform8;
Arr2;Platform9;
Arr3;Platform2;
Arr3;Platform3;
Arr3;Platform4;
Arr3;Platform5;
Arr3;Platform6;
Arr3;Platform7;
Arr3;Platform8;
Arr4;Platform4;
Arr4;Platform5;
Arr4;Platform6;
Arr4;Platform7;
Arr4;Platform8;
Arr4;Platform9;
Arr5;Platform4;
Arr5;Platform5;
Arr5;Platform6;
Arr5;Platform7;
Arr5;Platform8;
Arr5;Platform9;
Arr6;Platform5;
Arr6;Platform6;
Arr6;Platform7;
Arr6;Platform8;
Arr6;Platform9;
Arr7;Platform2;
Arr7;Platform3;
Arr7;Platform4;
Arr7;Platform5;
Arr7;Platform6;
Arr7;Platform7;
Arr7;Platform8;
Arr8;Platform3;
Arr8;Platform4;
Arr8;Platform5;
Arr8;Platform6;
Arr9;Platform5;
Arr9;Platform6;
Arr9;Platform7;
Arr9;Platform8;
Arr10;Platform2;
Arr10;Platform3;
Arr10;Platform4;
Arr10;Platform5;
Arr10;Platform6;
Arr11;Platform4;
Arr11;Platform5;
Arr11;Platform6;
Arr11;Platform7;
Arr11;Platform8;
Arr11;Platform9;
Arr12;Platform2;
Arr12;Platform3;
Arr12;Platform4;
Arr12;Platform5;
Arr12;Platform6;
Arr12;Platform7;
Arr12;Platform8;
Arr13;Platform2;
Arr13;Platform3;
Arr13;Platform4;
Arr13;Platform5;
Arr13;Platform6;
Arr13;Platform7;
Arr14;Platform2;
Arr14;Platform3;
Arr14;Platform4;
Arr14;Platform5;
Arr14;Platform6;
Arr14;Platform7;
Arr14;Platform8;
Arr15;Platform4;
Arr15;Platform5;
Arr15;Platform6;
Arr15;Platform7;
Arr15;Platform8;
Arr16;Platform2;
Arr16;Platform3;
Arr16;Platform4;
Arr16;Platform5;
Arr16;Platform6;
Arr16;Platform7;
Arr16;Platform8;
Arr17;Platform2;
Arr17;Platform3;
Arr17;Platform4;
Arr17;Platform5;
Arr17;Platform6;
Arr17;Platform7;
Arr17;Platform8;
Arr18;Platform3;
Arr18;Platform4;
Arr18;Platform5;
Arr18;Platform6;
Arr18;Platform7;
Arr18;Platform8;
Arr18;Platform9;
Arr19;Platform4;
Arr19;Platform5;
Arr19;Platform6;
Arr19;Platform7;
Arr19;Platform8;
Arr20;Platform2;
Arr20;Platform3;
Arr20;Platform4;
Arr20;Platform5;
Arr20;Platform6;
Arr20;Platform7;
Arr20;Platform8;
Arr21;Platform4;
Arr21;Platform5;
Arr21;Platform6;
Arr21;Platform7;
Arr21;Platform8;
Arr21;Platform9;
Arr22;Platform5;
Arr22;Platform6;
Arr22;Platform7;
Arr22;Platform8;
Arr23;Platform2;
Arr23;Platform3;
Arr23;Platform4;
Arr23;Platform5;
Arr23;Platform6;
Arr23;Platform7;
Arr24;Platform4;
Arr24;Platform5;
Arr24;Platform6;
Arr24;Platform7;
Arr24;Platform8;
Arr25;Platform2;
Arr25;Platform3;
Arr25;Platform4;
Arr25;Platform5;
Arr25;Platform6;
Arr25;Platform7;
Arr25;Platform8;
Arr26;Platform5;
Arr26;Platform6;
Arr26;Platform7;
Arr26;Platform8;
Arr27;Platform3;
Arr27;Platform4;
Arr27;Platform5;
Arr27;Platform6;
Arr27;Platform7;
Arr27;Platform8;
Arr28;Platform6;
Arr28;Platform7;
Arr28;Platform8;
Arr28;Platform9;
Arr29;Platform2;
Arr29;Platform3;
Arr29;Platform4;
Arr29;Platform5;
Arr29;Platform6;
Arr29;Platform7;
Arr29;Platform8;
Arr30;Platform2;
Arr30;Platform3;
Arr30;Platform4;
Arr30;Platform5;
Arr30;Platform6;
Arr30;Platform7;
Arr30;Platform8;
Arr31;Platform5;
Arr31;Platform6;
Arr31;Platform7;
Arr31;Platform8;
Arr32;Platform4;
Arr32;Platform5;
Arr32;Platform6;
Arr32;Platform7;
Arr32;Platform8;
Arr32;Platform9;
Arr33;Platform4;
Arr33;Platform5;
Arr33;Platform6;
Arr33;Platform7;
Arr34;Platform4;
Arr34;Platform5;
Arr34;Platform6;
Arr34;Platform7;
Arr34;Platform8;
Arr34;Platform9;
Arr35;Platform2;
Arr35;Platform3;
Arr35;Platform4;
Arr35;Platform5;
Arr35;Platform6;
Arr36;Platform3;
Arr36;Platform4;
Arr36;Platform5;
Arr36;Platform6;
Arr37;Platform3;
Arr37;Platform4;
Arr37;Platform5;
Arr37;Platform6;
Arr37;Platform7;
Arr37;Platform8;
Arr38;Platform3;
Arr38;Platform4;
Arr38;Platform5;
Arr38;Platform6;
Arr38;Platform7;
Arr38;Platform8;
Arr39;Platform2;
Arr39;Platform3;
Arr39;Platform4;
Arr39;Platform5;
Arr40;Platform4;
Arr40;Platform5;
Arr40;Platform6;
Arr40;Platform7;
Arr40;Platform8;
Arr40;Platform9;
Arr41;Platform4;
Arr41;Platform5;
Arr41;Platform6;
Arr41;Platform7;
Arr41;Platform8;
Arr41;Platform9;
Arr42;Platform5;
Arr42;Platform6;
Arr42;Platform7;
Arr42;Platform8;
Arr43;Platform3;
Arr43;Platform4;
Arr43;Platform5;
Arr43;Platform6;
Arr43;Platform7;
Arr43;Platform8;
Arr44;Platform2;
Arr44;Platform3;
Arr44;Platform4;
Arr44;Platform5;
Arr44;Platform6;
Arr44;Platform7;
Arr45;Platform3;
Arr45;Platform4;
Arr45;Platform5;
Arr45;Platform6;
Arr45;Platform7;
Arr45;Platform8;
Arr45;Platform9;
Arr46;Platform2;
Arr46;Platform3;
Arr46;Platform4;
Arr46;Platform5;
Arr46;Platform6;
Arr46;Platform7;
Arr47;Platform4;
Arr47;Platform5;
Arr47;Platform6;
Arr47;Platform7;
Arr47;Platform8;
Arr48;Platform2;
Arr48;Platform3;
Arr48;Platform4;
Arr48;Platform5;
Arr48;Platform6;
Arr48;Platform7;
Arr48;Platform8;
Arr49;Platform3;
Arr49;Platform4;
Arr49;Platform5;
Arr49;Platform6;
Arr50;Platform2;
Arr50;Platform3;
Arr50;Platform4;
Arr50;Platform5;
Arr50;Platform6;
Arr50;Platform7;
Arr50;Platform8;
Dep1;Platform3;
Dep1;Platform4;
Dep1;Platform5;
Dep1;Platform6;
Dep1;Platform7;
Dep1;Platform8;
Dep1;Platform9;
Dep2;Platform3;
Dep2;Platform4;
Dep2;Platform5;
Dep2;Platform6;
Dep2;Platform7;
Dep2;Platform8;
Dep2;Platform9;
Dep3;Platform2;
Dep3;Platform3;
Dep3;Platform4;
Dep3;Platform5;
Dep3;Platform6;
Dep4;Platform3;
Dep4;Platform4;
Dep4;Platform5;
Dep4;Platform6;
Dep4;Platform7;
Dep4;Platform8;
Dep4;Platform9;
Dep5;Platform4;
Dep5;Platform5;
Dep5;Platform6;
Dep5;Platform7;
Dep6;Platform4;
Dep6;Platform5;
Dep6;Platform6;
Dep6;Platform7;
Dep7;Platform2;
Dep7;Platform3;
Dep7;Platform4;
Dep7;Platform5;
Dep7;Platform6;
Dep7;Platform7;
Dep7;Platform8;
Dep8;Platform4;
Dep8;Platform5;
Dep8;Platform6;
Dep8;Platform7;
Dep8;Platform8;
Dep8;Platform9;
Dep9;Platform2;
Dep9;Platform3;
Dep9;Platform4;
Dep9;Platform5;
Dep9;Platform6;
Dep9;Platform7;
Dep9;Platform8;
Dep10;Platform4;
Dep10;Platform5;
Dep10;Platform6;
Dep10;Platform7;
Dep10;Platform8;
Dep10;Platform9;
Dep11;Platform2;
Dep11;Platform3;
Dep11;Platform4;
Dep11;Platform5;
Dep11;Platform6;
Dep11;Platform7;
Dep12;Platform3;
Dep12;Platform4;
Dep12;Platform5;
Dep12;Platform6;
Dep12;Platform7;
Dep13;Platform3;
Dep13;Platform4;
Dep13;Platform5;
Dep13;Platform6;
Dep13;Platform7;
Dep13;Platform8;
Dep13;Platform9;
Dep14;Platform4;
Dep14;Platform5;
Dep14;Platform6;
Dep14;Platform7;
Dep14;Platform8;
Dep14;Platform9;
Dep15;Platform2;
Dep15;Platform3;
Dep15;Platform4;
Dep15;Platform5;
Dep15;Platform6;
Dep15;Platform7;
Dep15;Platform8;
Dep16;Platform2;
Dep16;Platform3;
Dep16;Platform4;
Dep16;Platform5;
Dep16;Platform6;
Dep17;Platform3;
Dep17;Platform4;
Dep17;Platform5;
Dep17;Platform6;
Dep17;Platform7;
Dep17;Platform8;
Dep17;Platform9;
Dep18;Platform2;
Dep18;Platform3;
Dep18;Platform4;
Dep18;Platform5;
Dep18;Platform6;
Dep19;Platform4;
Dep19;Platform5;
Dep19;Platform6;
Dep19;Platform7;
Dep19;Platform8;
Dep19;Platform9;
Dep20;Platform4;
Dep20;Platform5;
Dep20;Platform6;
Dep20;Platform7;
Dep20;Platform8;
Dep20;Platform9;
Dep21;Platform3;
Dep21;Platform4;
Dep21;Platform5;
Dep21;Platform6;
Dep21;Platform7;
Dep21;Platform8;
Dep21;Platform9;
Dep22;Platform4;
Dep22;Platform5;
Dep22;Platform6;
Dep22;Platform7;
Dep23;Platform4;
Dep23;Platform5;
Dep23;Platform6;
Dep23;Platform7;
Dep23;Platform8;
Dep23;Platform9;
Dep24;Platform2;
Dep24;Platform3;
Dep24;Platform4;
Dep24;Platform5;
Dep24;Platform6;
Dep24;Platform7;
Dep25;Platform3;
Dep25;Platform4;
Dep25;Platform5;
Dep25;Platform6;
Dep25;Platform7;
Dep26;Platform3;
Dep26;Platform4;
Dep26;Platform5;
Dep26;Platform6;
Dep26;Platform7;
Dep26;Platform8;
Dep27;Platform4;
Dep27;Platform5;
Dep27;Platform6;
Dep27;Platform7;
Dep28;Platform4;
Dep28;Platform5;
Dep28;Platform6;
Dep28;Platform7;
Dep28;Platform8;
Dep29;Platform3;
Dep29;Platform4;
Dep29;Platform5;
Dep29;Platform6;
Dep29;Platform7;
Dep29;Platform8;
Dep30;Platform4;
Dep30;Platform5;
Dep30;Platform6;
Dep30;Platform7;
Dep31;Platform4;
Dep31;Platform5;
Dep31;Platform6;
Dep31;Platform7;
Dep31;Platform8;
Dep32;Platform4;
Dep32;Platform5;
Dep32;Platform6;
Dep32;Platform7;
Dep32;Platform8;
Dep32;Platform9;
Dep33;Platform3;
Dep33;Platform4;
Dep33;Platform5;
Dep33;Platform6;
Dep33;Platform7;
Dep33;Platform8;
Dep33;Platform9;
Dep34;Platform3;
Dep34;Platform4;
Dep34;Platform5;
Dep34;Platform6;
Dep34;Platform7;
Dep34;Platform8;
Dep34;Platform9;
Dep35;Platform4;
Dep35;Platform5;
Dep35;Platform6;
Dep35;Platform7;
Dep35;Platform8;
Dep35;Platform9;
Dep36;Platform5;
Dep36;Platform6;
Dep36;Platform7;
Dep36;Platform8;
Dep36;Platform9;
Dep37;Platform5;
Dep37;Platform6;
Dep37;Platform7;
Dep37;Platform8;
Dep38;Platform4;
Dep38;Platform5;
Dep38;Platform6;
Dep38;Platform7;
Dep38;Platform8;
Dep39;Platform3;
Dep39;Platform4;
Dep39;Platform5;
Dep39;Platform6;
Dep39;Platform7;
Dep39;Platform8;
Dep40;Platform3;
Dep40;Platform4;
Dep40;Platform5;
Dep40;Platform6;
Dep40;Platform7;
Dep40;Platform8;
Dep40;Platform9;
Dep41;Platform4;
Dep41;Platform5;
Dep41;Platform6;
Dep41;Platform7;
Dep41;Platform8;
Dep42;Platform3;
Dep42;Platform4;
Dep42;Platform5;
Dep42;Platform6;
Dep42;Platform7;
Dep43;Platform4;
Dep43;Platform5;
Dep43;Platform6;
Dep43;Platform7;
Dep43;Platform8;
Dep43;Platform9;
Dep44;Platform4;
Dep44;Platform5;
Dep44;Platform6;
Dep44;Platform7;
Dep44;Platform8;
Dep45;Platform3;
Dep45;Platform4;
Dep45;Platform5;
Dep45;Platform6;
Dep45;Platform7;
Dep45;Platform8;
Dep45;Platform9;
Dep46;Platform2;
Dep46;Platform3;
Dep46;Platform4;
Dep46;Platform5;
Dep46;Platform6;
Dep46;Platform7;
Dep47;Platform2;
Dep47;Platform3;
Dep47;Platform4;
Dep47;Platform5;
Dep48;Platform2;
Dep48;Platform3;
Dep48;Platform4;
Dep48;Platform5;
Dep49;Platform3;
Dep49;Platform4;
Dep49;Platform5;
Dep49;Platform6;
Dep49;Platform7;
Dep49;Platform8;
Dep49;Platform9;
Dep50;Platform5;
Dep50;Platform6;
Dep50;Platform7;
Dep50;Platform8;
