idDeparture;depTime;depSeq;jointDep;idealDwell;maxDwell;reqDBM;reqTBM;
Dep1;d1 02:12:27;DepSeq2;;00:15:00;04:21:06;270;09:13:06;
Dep2;d1 03:19:31;DepSeq2;;00:30:00;04:30:36;630;09:11:12;
Dep3;d1 04:43:41;DepSeq1;;00:15:00;07:17:07;980;03:32:13;
Dep4;d1 05:45:53;DepSeq1;;00:15:00;08:18:51;980;02:30:41;
Dep5;d1 05:52:53;DepSeq2;;00:15:00;02:22:06;600;11:54:32;
Dep6;d1 06:57:54;DepSeq2;;00:30:00;06:48:22;1030;02:42:20;
Dep7;d1 07:57:55;DepSeq2;;00:15:00;08:25:21;890;11:32:55;
Dep8;d1 08:57:58;DepSeq2;;00:30:00;06:13:56;150;05:52:43;
Dep9;d1 08:58:59;DepSeq1;;00:30:00;05:56:21;550;06:05:36;
Dep10;d1 08:59:59;DepSeq2;;00:30:00;07:16:28;730;09:14:45;
Dep11;d1 09:59:59;DepSeq1;;00:15:00;03:53:29;80;01:29:11;
Dep12;d1 09:59:59;DepSeq1;;00:30:00;07:18:31;1000;01:54:32;
Dep13;d1 10:59:59;DepSeq1;;00:15:00;04:13:50;470;04:32:08;
Dep14;d1 10:59:59;DepSeq1;;00:15:00;04:44:15;970;04:24:49;
Dep15;d1 11:59:59;DepSeq1;;00:30:00;06:07:35;530;04:59:26;
Dep16;d1 12:59:59;DepSeq1;;00:15:00;04:32:19;300;04:34:36;
Dep17;d1 13:59:59;DepSeq2;;00:30:00;05:15:49;380;07:47:39;
Dep18;d1 13:59:59;DepSeq1;;00:15:00;01:04:00;840;03:24:34;
Dep19;d1 13:59:59;DepSeq2;;00:30:00;06:38:41;830;04:17:28;
Dep20;d1 13:59:59;DepSeq1;;00:30:00;02:44:41;60;07:48:48;
