arr/dep;platform;
Arr1;Platform5;
Arr1;Platform6;
Arr1;Platform7;
Arr1;Platform8;
Arr1;Platform9;
Arr2;Platform3;
Arr2;Platform4;
Arr2;Platform5;
Arr2;Platform6;
Arr2;Platform7;
Arr3;Platform4;
Arr3;Platform5;
Arr3;Platform6;
Arr3;Platform7;
Arr3;Platform8;
Arr3;Platform9;
Arr4;Platform3;
Arr4;Platform4;
Arr4;Platform5;
Arr4;Platform6;
Arr4;Platform7;
Arr4;Platform8;
Arr4;Platform9;
Arr4;Platform10;
Arr5;Platform4;
Arr5;Platform5;
Arr5;Platform6;
Arr5;Platform7;
Arr6;Platform4;
Arr6;Platform5;
Arr6;Platform6;
Arr6;Platform7;
Arr6;Platform8;
Arr7;Platform2;
Arr7;Platform3;
Arr7;Platform4;
Arr7;Platform5;
Arr8;Platform2;
Arr8;Platform3;
Arr8;Platform4;
Arr8;Platform5;
Arr8;Platform6;
Arr8;Platform7;
Arr8;Platform8;
Arr9;Platform2;
Arr9;Platform3;
Arr9;Platform4;
Arr9;Platform5;
Arr9;Platform6;
Arr10;Platform2;
Arr10;Platform3;
Arr10;Platform4;
Arr10;Platform5;
Arr10;Platform6;
Arr10;Platform7;
Arr10;Platform8;
Arr10;Platform9;
Arr11;Platform4;
Arr11;Platform5;
Arr11;Platform6;
Arr11;Platform7;
Arr11;Platform8;
Arr11;Platform9;
Arr11;Platform10;
Arr12;Platform3;
Arr12;Platform4;
Arr12;Platform5;
Arr12;Platform6;
Arr12;Platform7;
Arr12;Platform8;
Arr12;Platform9;
Arr12;Platform10;
Arr13;Platform2;
Arr13;Platform3;
Arr13;Platform4;
Arr13;Platform5;
Arr13;Platform6;
Arr13;Platform7;
Arr14;Platform2;
Arr14;Platform3;
Arr14;Platform4;
Arr14;Platform5;
Arr14;Platform6;
Arr14;Platform7;
Arr15;Platform2;
Arr15;Platform3;
Arr15;Platform4;
Arr15;Platform5;
Arr16;Platform2;
Arr16;Platform3;
Arr16;Platform4;
Arr16;Platform5;
Arr16;Platform6;
Arr16;Platform7;
Arr16;Platform8;
Arr16;Platform9;
Arr17;Platform2;
Arr17;Platform3;
Arr17;Platform4;
Arr17;Platform5;
Arr17;Platform6;
Arr17;Platform7;
Arr18;Platform4;
Arr18;Platform5;
Arr18;Platform6;
Arr18;Platform7;
Arr18;Platform8;
Arr18;Platform9;
Arr19;Platform3;
Arr19;Platform4;
Arr19;Platform5;
Arr19;Platform6;
Arr19;Platform7;
Arr19;Platform8;
Arr19;Platform9;
Arr20;Platform2;
Arr20;Platform3;
Arr20;Platform4;
Arr20;Platform5;
Dep1;Platform3;
Dep1;Platform4;
Dep1;Platform5;
Dep1;Platform6;
Dep1;Platform7;
Dep1;Platform8;
Dep1;Platform9;
Dep1;Platform10;
Dep2;Platform3;
Dep2;Platform4;
Dep2;Platform5;
Dep2;Platform6;
Dep2;Platform7;
Dep2;Platform8;
Dep2;Platform9;
Dep2;Platform10;
Dep3;Platform2;
Dep3;Platform3;
Dep3;Platform4;
Dep3;Platform5;
Dep3;Platform6;
Dep3;Platform7;
Dep3;Platform8;
Dep4;Platform7;
Dep4;Platform8;
Dep4;Platform9;
Dep4;Platform10;
Dep5;Platform3;
Dep5;Platform4;
Dep5;Platform5;
Dep5;Platform6;
Dep5;Platform7;
Dep5;Platform8;
Dep5;Platform9;
Dep6;Platform6;
Dep6;Platform7;
Dep6;Platform8;
Dep6;Platform9;
Dep6;Platform10;
Dep7;Platform3;
Dep7;Platform4;
Dep7;Platform5;
Dep7;Platform6;
Dep7;Platform7;
Dep7;Platform8;
Dep7;Platform9;
Dep7;Platform10;
Dep8;Platform4;
Dep8;Platform5;
Dep8;Platform6;
Dep8;Platform7;
Dep8;Platform8;
Dep8;Platform9;
Dep9;Platform4;
Dep9;Platform5;
Dep9;Platform6;
Dep9;Platform7;
Dep9;Platform8;
Dep9;Platform9;
Dep10;Platform4;
Dep10;Platform5;
Dep10;Platform6;
Dep10;Platform7;
Dep10;Platform8;
Dep10;Platform9;
Dep11;Platform2;
Dep11;Platform3;
Dep11;Platform4;
Dep11;Platform5;
Dep11;Platform6;
Dep11;Platform7;
Dep12;Platform3;
Dep12;Platform4;
Dep12;Platform5;
Dep12;Platform6;
Dep12;Platform7;
Dep12;Platform8;
Dep13;Platform4;
Dep13;Platform5;
Dep13;Platform6;
Dep13;Platform7;
Dep13;Platform8;
Dep13;Platform9;
Dep14;Platform3;
Dep14;Platform4;
Dep14;Platform5;
Dep14;Platform6;
Dep14;Platform7;
Dep14;Platform8;
Dep14;Platform9;
Dep15;Platform2;
Dep15;Platform3;
Dep15;Platform4;
Dep15;Platform5;
Dep16;Platform3;
Dep16;Platform4;
Dep16;Platform5;
Dep16;Platform6;
Dep16;Platform7;
Dep17;Platform3;
Dep17;Platform4;
Dep17;Platform5;
Dep17;Platform6;
Dep17;Platform7;
Dep17;Platform8;
Dep17;Platform9;
Dep18;Platform4;
Dep18;Platform5;
Dep18;Platform6;
Dep18;Platform7;
Dep18;Platform8;
Dep18;Platform9;
Dep18;Platform10;
Dep19;Platform5;
Dep19;Platform6;
Dep19;Platform7;
Dep19;Platform8;
Dep19;Platform9;
Dep20;Platform4;
Dep20;Platform5;
Dep20;Platform6;
Dep20;Platform7;
Dep20;Platform8;
Dep20;Platform9;
Dep20;Platform10;
