idArrival;arrTrain;arrTime;arrSeq;jointArr;linkedDep;cat;idealDwell;maxDwell;remDBM;remTBM;
Arr1;Train1;d1 02:59:04;ArrSeq1;;;Cat1;00:15:00;00:28:51;1730;72:00:00;
Arr2;Train2;d1 02:59:58;ArrSeq1;;;Cat1;00:15:00;08:24:16;2290;72:00:00;
Arr3;Train3;d1 02:59:59;ArrSeq2;;;Cat1;00:05:00;05:20:57;1790;72:00:00;
Arr4;Train4;d1 02:59:59;ArrSeq1;;;Cat1;00:15:00;08:59:26;2210;72:00:00;
Arr5;Train5;d1 03:59:59;ArrSeq2;;;Cat1;00:15:00;06:27:48;2190;72:00:00;
Arr6;Train6;d1 04:59:59;ArrSeq1;;;Cat1;00:15:00;05:09:52;1770;72:00:00;
Arr7;Train7;d1 04:59:59;ArrSeq2;;;Cat1;00:15:00;07:00:22;2020;72:00:00;
Arr8;Train8;d1 05:59:59;ArrSeq2;;;Cat1;00:05:00;03:47:48;2200;72:00:00;
Arr9;Train9;d1 06:59:59;ArrSeq2;;;Cat1;00:05:00;05:09:41;2380;72:00:00;
Arr10;Train10;d1 07:59:59;ArrSeq2;;;Cat1;00:05:00;00:16:30;2340;72:00:00;
Arr11;Train11;d1 08:59:59;ArrSeq2;;;Cat1;00:15:00;05:29:36;1960;72:00:00;
Arr12;Train12;d1 08:59:59;ArrSeq1;;;Cat1;00:15:00;04:36:40;2470;72:00:00;
Arr13;Train13;d1 08:59:59;ArrSeq1;;;Cat1;00:15:00;07:48:37;2480;72:00:00;
Arr14;Train14;d1 09:59:59;ArrSeq1;;;Cat1;00:05:00;08:21:58;1660;72:00:00;
Arr15;Train15;d1 10:59:59;ArrSeq1;;;Cat1;00:15:00;00:14:36;2250;72:00:00;
Arr16;Train16;d1 10:59:59;ArrSeq2;;;Cat1;00:15:00;01:38:58;1720;72:00:00;
Arr17;Train17;d1 10:59:59;ArrSeq2;;;Cat1;00:05:00;05:52:38;2440;72:00:00;
Arr18;Train18;d1 11:59:59;ArrSeq2;;;Cat1;00:05:00;00:39:29;2110;72:00:00;
Arr19;Train19;d1 11:59:59;ArrSeq2;;;Cat1;00:05:00;08:40:48;1730;72:00:00;
Arr20;Train20;d1 11:59:59;ArrSeq1;;;Cat1;00:05:00;01:58:33;1780;72:00:00;
