idDeparture;depTime;depSeq;jointDep;idealDwell;maxDwell;reqDBM;reqTBM;
Dep1;d1 10:17:27;DepSeq1;;00:15:00;05:22:44;1030;09:32:03;
Dep2;d1 11:07:38;DepSeq1;;00:30:00;00:10:40;850;07:15:13;
Dep3;d1 11:27:55;DepSeq1;;00:30:00;07:50:33;370;05:52:00;
Dep4;d1 11:38:51;DepSeq1;;00:30:00;07:10:20;160;02:03:22;
Dep5;d1 12:06:07;DepSeq2;;00:30:00;03:10:34;580;07:54:15;
Dep6;d1 13:05:09;DepSeq1;;00:30:00;00:25:37;800;04:00:37;
Dep7;d1 13:16:12;DepSeq1;;00:15:00;00:35:22;220;05:02:19;
Dep8;d1 13:48:07;DepSeq2;;00:15:00;06:15:26;330;12:52:40;
Dep9;d1 14:26:33;DepSeq2;;00:30:00;03:12:32;760;02:04:40;
Dep10;d1 14:57:35;DepSeq2;;00:30:00;01:50:15;400;01:57:35;
Dep11;d1 15:06:46;DepSeq2;;00:15:00;07:15:41;430;11:53:02;
Dep12;d1 15:18:48;DepSeq1;;00:30:00;05:43:20;880;10:54:08;
Dep13;d1 15:33:40;DepSeq2;;00:30:00;00:44:53;1070;08:31:20;
Dep14;d1 16:00:59;DepSeq1;;00:15:00;04:19:57;350;10:49:37;
Dep15;d1 16:20:42;DepSeq1;;00:30:00;05:40:05;1010;03:28:32;
Dep16;d1 16:31:52;DepSeq2;;00:30:00;00:20:39;230;01:19:07;
Dep17;d1 16:46:05;DepSeq2;;00:15:00;05:30:01;340;08:12:55;
Dep18;d1 16:52:39;DepSeq1;;00:30:00;00:09:46;850;10:03:15;
Dep19;d1 17:03:41;DepSeq2;;00:30:00;07:02:07;520;07:46:35;
Dep20;d1 17:10:33;DepSeq2;;00:15:00;08:53:23;990;10:48:22;
Dep21;d1 17:23:00;DepSeq1;;00:30:00;06:38:45;950;01:21:53;
Dep22;d1 17:46:28;DepSeq2;;00:30:00;01:33:09;470;04:21:28;
Dep23;d1 17:51:43;DepSeq2;;00:15:00;00:48:18;180;12:54:27;
Dep24;d1 18:02:19;DepSeq2;;00:15:00;01:37:12;750;03:41:42;
