idArrival;arrTrain;arrTime;arrSeq;jointArr;linkedDep;cat;idealDwell;maxDwell;remDBM;remTBM;
Arr1;Train1;d1 05:11:09;ArrSeq2;;;Cat1;00:15:00;00:25:21;1900;72:00:00;
Arr2;Train2;d1 05:24:44;ArrSeq2;;;Cat1;00:15:00;06:41:48;1850;72:00:00;
Arr3;Train3;d1 05:50:16;ArrSeq1;;;Cat1;00:05:00;01:26:53;1760;72:00:00;
Arr4;Train4;d1 06:03:48;ArrSeq2;;;Cat1;00:15:00;08:40:13;1820;72:00:00;
Arr5;Train5;d1 06:40:48;ArrSeq2;;;Cat1;00:15:00;03:59:47;1970;72:00:00;
Arr6;Train6;d1 06:53:46;ArrSeq2;;;Cat1;00:05:00;02:33:53;1690;72:00:00;
Arr7;Train7;d1 07:01:19;ArrSeq2;;;Cat1;00:05:00;06:37:19;2400;72:00:00;
Arr8;Train8;d1 07:32:24;ArrSeq2;;;Cat1;00:15:00;06:34:46;1880;72:00:00;
Arr9;Train9;d1 07:43:36;ArrSeq2;;;Cat1;00:15:00;07:20:19;2010;72:00:00;
Arr10;Train10;d1 08:00:39;ArrSeq1;;;Cat1;00:15:00;00:23:26;1600;72:00:00;
Arr11;Train11;d1 08:45:00;ArrSeq2;;;Cat1;00:05:00;07:02:11;1900;72:00:00;
Arr12;Train12;d1 09:13:26;ArrSeq2;;;Cat1;00:05:00;04:04:23;2010;72:00:00;
Arr13;Train13;d1 09:22:40;ArrSeq2;;;Cat1;00:15:00;08:40:41;2020;72:00:00;
Arr14;Train14;d1 09:38:26;ArrSeq2;;;Cat1;00:15:00;06:52:56;1860;72:00:00;
Arr15;Train15;d1 10:04:35;ArrSeq1;;;Cat1;00:15:00;02:11:21;1980;72:00:00;
Arr16;Train16;d1 11:36:27;ArrSeq2;;;Cat1;00:05:00;07:48:26;1720;72:00:00;
Arr17;Train17;d1 12:05:36;ArrSeq2;;;Cat1;00:05:00;01:40:03;1740;72:00:00;
Arr18;Train18;d1 13:00:16;ArrSeq1;;;Cat1;00:05:00;01:36:15;1580;72:00:00;
Arr19;Train19;d1 13:10:47;ArrSeq2;;;Cat1;00:15:00;04:57:33;1590;72:00:00;
Arr20;Train20;d1 13:33:31;ArrSeq1;;;Cat1;00:15:00;01:10:34;1940;72:00:00;
Arr21;Train21;d1 13:42:34;ArrSeq2;;;Cat1;00:05:00;03:39:07;2080;72:00:00;
Arr22;Train22;d1 14:00:12;ArrSeq2;;;Cat1;00:05:00;07:56:57;1960;72:00:00;
Arr23;Train23;d1 14:51:07;ArrSeq2;;;Cat1;00:15:00;07:11:43;1930;72:00:00;
Arr24;Train24;d1 15:00:21;ArrSeq2;;;Cat1;00:05:00;00:18:26;1940;72:00:00;
Arr25;Train25;d1 15:30:25;ArrSeq1;;;Cat1;00:05:00;06:43:10;1950;72:00:00;
Arr26;Train26;d1 16:00:02;ArrSeq2;;;Cat1;00:05:00;02:24:36;2160;72:00:00;
Arr27;Train27;d1 16:21:17;ArrSeq1;;;Cat1;00:15:00;05:01:49;1830;72:00:00;
Arr28;Train28;d1 17:41:19;ArrSeq2;;;Cat1;00:05:00;04:14:59;1860;72:00:00;
Arr29;Train29;d1 18:00:49;ArrSeq1;;;Cat1;00:05:00;00:29:27;2050;72:00:00;
Arr30;Train30;d1 18:10:49;ArrSeq2;;;Cat1;00:15:00;04:21:15;2240;72:00:00;
Arr31;Train31;d1 18:17:58;ArrSeq1;;;Cat1;00:15:00;04:14:23;2260;72:00:00;
Arr32;Train32;d1 18:30:26;ArrSeq1;;;Cat1;00:05:00;05:17:06;1940;72:00:00;
Arr33;Train33;d1 18:46:14;ArrSeq1;;;Cat1;00:05:00;03:56:28;1850;72:00:00;
Arr34;Train34;d1 19:22:20;ArrSeq2;;;Cat1;00:15:00;06:45:19;1570;72:00:00;
Arr35;Train35;d1 19:33:01;ArrSeq1;;;Cat1;00:15:00;03:18:14;1750;72:00:00;
Arr36;Train36;d1 19:50:18;ArrSeq2;;;Cat1;00:15:00;08:36:33;1530;72:00:00;
Arr37;Train37;d1 20:02:30;ArrSeq2;;;Cat1;00:05:00;00:56:05;2370;72:00:00;
Arr38;Train38;d1 20:06:20;ArrSeq2;;;Cat1;00:15:00;00:28:14;1750;72:00:00;
Arr39;Train39;d1 20:09:12;ArrSeq2;;;Cat1;00:05:00;00:10:01;2480;72:00:00;
Arr40;Train40;d1 20:11:48;ArrSeq1;;;Cat1;00:15:00;02:18:41;1940;72:00:00;
Arr41;Train41;d1 20:14:56;ArrSeq1;;;Cat1;00:15:00;01:43:55;1830;72:00:00;
Arr42;Train42;d1 20:20:09;ArrSeq1;;;Cat1;00:15:00;00:07:59;1530;72:00:00;
Arr43;Train43;d1 20:24:15;ArrSeq2;;;Cat1;00:15:00;04:23:46;1790;72:00:00;
Arr44;Train44;d1 20:27:00;ArrSeq1;;;Cat1;00:05:00;05:22:54;2280;72:00:00;
Arr45;Train45;d1 20:28:56;ArrSeq1;;;Cat1;00:05:00;06:04:24;2260;72:00:00;
Arr46;Train46;d1 20:31:43;ArrSeq1;;;Cat1;00:05:00;05:13:54;2370;72:00:00;
Arr47;Train47;d1 20:40:01;ArrSeq2;;;Cat1;00:05:00;08:57:44;2350;72:00:00;
Arr48;Train48;d1 20:42:04;ArrSeq1;;;Cat1;00:15:00;00:24:38;2420;72:00:00;
Arr49;Train49;d1 20:46:25;ArrSeq1;;;Cat1;00:15:00;03:02:50;1950;72:00:00;
Arr50;Train50;d1 20:50:35;ArrSeq1;;;Cat1;00:05:00;01:40:27;2130;72:00:00;
Arr51;Train51;d1 20:52:57;ArrSeq1;;;Cat1;00:05:00;06:45:47;1830;72:00:00;
Arr52;Train52;d1 20:59:00;ArrSeq2;;;Cat1;00:05:00;03:33:44;1610;72:00:00;
Arr53;Train53;d1 21:01:59;ArrSeq1;;;Cat1;00:05:00;02:42:39;1790;72:00:00;
Arr54;Train54;d1 21:03:42;ArrSeq2;;;Cat1;00:05:00;08:42:53;2440;72:00:00;
Arr55;Train55;d1 21:07:52;ArrSeq2;;;Cat1;00:05:00;01:28:58;2290;72:00:00;
Arr56;Train56;d1 21:10:54;ArrSeq1;;;Cat1;00:15:00;05:08:40;2320;72:00:00;
Arr57;Train57;d1 21:13:54;ArrSeq2;;;Cat1;00:15:00;00:31:05;1850;72:00:00;
Arr58;Train58;d1 21:19:58;ArrSeq2;;;Cat1;00:15:00;06:00:14;1970;72:00:00;
Arr59;Train59;d1 22:23:35;ArrSeq1;;;Cat1;00:15:00;06:49:56;1960;72:00:00;
Arr60;Train60;d1 22:25:36;ArrSeq2;;;Cat1;00:15:00;08:34:09;1570;72:00:00;
Arr61;Train61;d1 22:28:49;ArrSeq2;;;Cat1;00:15:00;00:05:39;1730;72:00:00;
Arr62;Train62;d1 21:34:04;ArrSeq2;;;Cat1;00:15:00;00:41:50;1840;72:00:00;
Arr63;Train63;d1 21:36:03;ArrSeq1;;;Cat1;00:15:00;03:14:43;2410;72:00:00;
Arr64;Train64;d1 21:42:40;ArrSeq2;;;Cat1;00:05:00;01:43:26;1780;72:00:00;
Arr65;Train65;d1 21:47:44;ArrSeq1;;;Cat1;00:05:00;07:33:36;2450;72:00:00;
Arr66;Train66;d1 21:48:12;ArrSeq2;;;Cat1;00:05:00;03:48:22;1860;72:00:00;
Arr67;Train67;d1 21:54:24;ArrSeq2;;;Cat1;00:15:00;03:54:33;2180;72:00:00;
Arr68;Train68;d1 21:58:39;ArrSeq1;;;Cat1;00:05:00;04:46:02;2070;72:00:00;
Arr69;Train69;d1 22:00:00;ArrSeq2;;;Cat1;00:05:00;07:00:13;1920;72:00:00;
Arr70;Train70;d1 22:01:33;ArrSeq1;;;Cat1;00:15:00;00:28:45;2030;72:00:00;
Arr71;Train71;d1 22:05:53;ArrSeq1;;;Cat1;00:05:00;04:28:25;2330;72:00:00;
Arr72;Train72;d1 22:10:55;ArrSeq2;;;Cat1;00:15:00;02:26:34;1630;72:00:00;
Arr73;Train73;d1 22:13:09;ArrSeq2;;;Cat1;00:15:00;03:47:03;2240;72:00:00;
Arr74;Train74;d1 22:15:28;ArrSeq1;;;Cat1;00:05:00;06:23:55;2470;72:00:00;
Arr75;Train75;d1 22:18:28;ArrSeq2;;;Cat1;00:05:00;03:09:08;1820;72:00:00;
Arr76;Train76;d1 22:20:38;ArrSeq2;;;Cat1;00:05:00;04:10:22;2100;72:00:00;
Arr77;Train77;d1 22:23:41;ArrSeq1;;;Cat1;00:05:00;07:25:42;2450;72:00:00;
Arr78;Train78;d1 22:33:03;ArrSeq1;;;Cat1;00:15:00;00:11:00;1930;72:00:00;
Arr79;Train79;d1 22:35:23;ArrSeq2;;;Cat1;00:05:00;01:39:57;2030;72:00:00;
Arr80;Train80;d1 22:42:46;ArrSeq2;;;Cat1;00:15:00;06:57:18;1550;72:00:00;
Arr81;Train81;d1 22:45:16;ArrSeq1;;;Cat1;00:05:00;08:27:57;2320;72:00:00;
Arr82;Train82;d1 22:46:20;ArrSeq2;;;Cat1;00:15:00;05:37:11;2270;72:00:00;
Arr83;Train83;d1 22:53:48;ArrSeq1;;;Cat1;00:15:00;04:51:59;2300;72:00:00;
Arr84;Train84;d1 22:57:52;ArrSeq2;;;Cat1;00:05:00;04:26:09;2370;72:00:00;
Arr85;Train85;d1 23:00:59;ArrSeq1;;;Cat1;00:05:00;03:57:07;2470;72:00:00;
Arr86;Train86;d1 23:03:25;ArrSeq1;;;Cat1;00:15:00;04:59:36;2140;72:00:00;
Arr87;Train87;d1 23:05:31;ArrSeq2;;;Cat1;00:15:00;05:57:38;2400;72:00:00;
Arr88;Train88;d1 23:08:59;ArrSeq2;;;Cat1;00:15:00;08:54:36;2060;72:00:00;
Arr89;Train89;d1 23:10:59;ArrSeq2;;;Cat1;00:15:00;02:06:26;2200;72:00:00;
Arr90;Train90;d1 23:12:59;ArrSeq1;;;Cat1;00:15:00;05:30:22;2360;72:00:00;
Arr91;Train91;d1 23:13:59;ArrSeq2;;;Cat1;00:15:00;01:58:16;1750;72:00:00;
Arr92;Train92;d1 23:16:59;ArrSeq2;;;Cat1;00:05:00;00:37:01;1760;72:00:00;
Arr93;Train93;d1 23:19:58;ArrSeq2;;;Cat1;00:05:00;01:59:58;2370;72:00:00;
Arr94;Train94;d1 23:20:26;ArrSeq2;;;Cat1;00:15:00;01:01:09;1870;72:00:00;
Arr95;Train95;d1 23:31:46;ArrSeq1;;;Cat1;00:15:00;02:41:16;2160;72:00:00;
Arr96;Train96;d1 23:42:21;ArrSeq2;;;Cat1;00:15:00;07:03:58;2290;72:00:00;
Arr97;Train97;d1 23:50:52;ArrSeq2;;;Cat1;00:15:00;05:30:17;1860;72:00:00;
Arr98;Train98;d1 23:52:54;ArrSeq2;;;Cat1;00:15:00;06:09:23;1990;72:00:00;
Arr99;Train99;d1 23:54:01;ArrSeq2;;;Cat1;00:15:00;02:39:48;1930;72:00:00;
Arr100;Train100;d1 23:55:26;ArrSeq1;;;Cat1;00:05:00;07:26:57;2450;72:00:00;
