idTrain;category;resource;remDBM;remTBM;
Train101;Cat1;Yard1;5000;72:00:00;
Train102;Cat1;Yard2;5000;72:00:00;
Train103;Cat1;Yard3;5000;72:00:00;
Train104;Cat1;Yard2;5000;72:00:00;
Train105;Cat1;Yard3;5000;72:00:00;
Train106;Cat1;Yard3;5000;72:00:00;
Train107;Cat1;Yard1;5000;72:00:00;
Train108;Cat1;Yard1;5000;72:00:00;
Train109;Cat1;Yard3;5000;72:00:00;
Train110;Cat1;Yard1;5000;72:00:00;
Train111;Cat1;Yard3;5000;72:00:00;
Train112;Cat1;Yard2;5000;72:00:00;
Train113;Cat1;Yard3;5000;72:00:00;
Train114;Cat1;Yard3;5000;72:00:00;
Train115;Cat1;Yard1;5000;72:00:00;
Train116;Cat1;Yard1;5000;72:00:00;
Train117;Cat1;Yard3;5000;72:00:00;
Train118;Cat1;Yard3;5000;72:00:00;
Train119;Cat1;Yard3;5000;72:00:00;
Train120;Cat1;Yard3;5000;72:00:00;
